category,final_text
business,quarterly profit u medium giant timewarner jump bn three month december year earlier firm one biggest investor google benefit sale high speed internet connection higher advert sale timewarner say fourth quarter sale rise bn bn profit buoy one gain offset profit dip warner bros le user aol time warner say friday search engine google internet business aol mix fortune lose subscriber fourth quarter profit lower three quarter however company say aol underlie profit exceptional item rise back stronger internet advertise revenue hop increase subscriber offer online service free timewarner internet customer try sign aol exist customer high speed broadband timewarner also restate result follow probe u security exchange commission sec close conclude time warner fourth quarter profit slightly better analyst expectation film division saw profit slump help box office alexander sharp contrast year earlier third final film lord ring trilogy boost result full year timewarner post profit bn performance revenue grow bn financial performance strong meet exceed full year objective greatly enhance flexibility chairman chief executive richard say timewarner project operate earn growth around also expect higher revenue wider profit margin timewarner restate account part effort resolve inquiry aol u market regulator already offer pay settle charge deal review sec company say unable estimate amount need set aside legal reserve previously set intend adjust way account deal german music publisher purchase stake aol europe report advertise revenue book sale stake aol europe loss value stake
business,dollar hit highest level euro almost three month federal reserve head say u trade deficit set stabilise alan greenspan highlight u government willingness curb spend rise household save factor may help reduce late trade new york dollar reach euro thursday market concern deficit hit recent month friday federal reserve chairman mr greenspan speech london ahead meet g finance minister send dollar higher earlier tumble back worse expect u job data think chairman take much view current account deficit take time say robert head currency strategy bank america new york take longer term view lay set condition current account deficit improve year next worry deficit concern china however remain china currency remain peg dollar u currency sharp fall recent month therefore make chinese export price highly competitive call shift beijing policy fall deaf ear despite recent comment major chinese newspaper time ripe loosen peg g meet think unlikely produce movement chinese policy meantime u federal reserve decision february boost interest rat quarter point sixth move many month open european rat half point window believe could enough keep u asset look attractive could help prop dollar recent fall partly result big budget deficit well u current account gap need fund buy u bond asset foreign firm government white house announce budget monday many commentator believe deficit remain close half trillion dollar
business,owner russian oil giant yukos ask buyer former production unit pay back loan state rosneft buy yugansk unit bn sale force russia part settle bn tax claim yukos yukos owner menatep group say ask rosneft repay loan yugansk secure asset rosneft already face similar repayment demand foreign bank legal expert say rosneft purchase yugansk would include obligation pledge asset rosneft pay real money creditor avoid yugansk asset say moscow base u lawyer jamie connect case menatep group manage director tim osborne tell reuters news agency default fight rule law exist international arbitration clause credit rosneft official unavailable comment company say intend take action menatep recover tax claim debt owe yugansk yukos file bankruptcy protection u court attempt prevent force sale main production arm sale go ahead december yugansk sell little know shell company turn buy rosneft yukos claim punishment political ambition founder mikhail khodorkovsky vow sue participant sale
business,british airway blame high fuel price drop profit report result three month december airline make pre tax profit compare year earlier rod ba chief executive say result respectable third quarter fuel cost rise ba profit still better market expectation expect rise full year revenue help offset increase price aviation fuel ba last year introduce fuel passenger october increase one way long haul flight short haul raise leg yet aviation analyst mike powell say ba estimate annual revenue still way short additional fuel cost predict extra turnover quarter bn benefit rise revenue look ahead full year result march ba warn average revenue per passenger expect decline continue lower price face competition low cost carrier however say sale would better previously forecast year march total revenue outlook slightly better previous guidance improvement anticipate ba chairman martin say ba previously forecast rise full year revenue also report friday passenger number rise january aviation analyst nick van den bnp describe ba latest quarterly result pretty modest quite good revenue side show impact fuel positive development however operate margin cost impact fuel strong say since september attack unite state ba cut job part major cost cut drive focus remain reduce cost debt whilst continue invest product mr say example take delivery six airbus aircraft next month start improvement club world flat bed ba share close four penny penny
business,share uk drink food firm ally rise speculation could target takeover france pernod report wall street journal financial time suggest french spirit firm consider bid yet contact target ally share london rise gmt pernod share paris slip pernod say seek acquisition refuse comment specific pernod last major purchase third u giant move global top three drink firm two third buy market leader diageo term market value pernod bn euro bn smaller ally capitalisation bn bn bn euro last year pernod try buy one scotland premier firm lose luxury good firm lvmh pernod home brand include club wine ally big name include well food chain ice cream say two ripe consolidation deal part portfolio pernod reduce debt take fund purchase bn euro ally improve performance fast food chain
business,japan economy brink technical recession three month september figure show revise figure indicate growth similar size contraction previous quarter annual basis data suggest annual growth suggest much recovery previously think common technical definition recession two successive quarter negative growth government keen play worry implication data maintain view japan economy remain minor adjustment phase upward climb monitor development carefully say economy minister face strengthen yen make export le competitive indication weaken economic condition ahead observer le paint picture recovery much previously think say paul economist brother tokyo improvement job market apparently yet fee domestic demand private consumption third quarter
business,u create fewer job expect january fall push unemployment rate lowest level three year accord labor department figure u firm add job january gain non farm payroll market expectation new job nevertheless enough push unemployment rate lowest level since september job gain mean president bush celebrate albeit fine margin net growth job u economy first term office net fall job last november presidential election first president since result job creation become key issue last year election however add december january figure administration first term job record end positive territory labor department also say revise job gain december analyst say growth new job strong could expect give favourable economic condition suggest employment continue expand moderate pace say rick deputy chief economist financial group get boost employment would get give low value dollar still relatively low interest rate environment economy produce moderate satisfy amount job growth say ken president economics mean limit number new opportunity worker
business,india attend g meet seven lead industrialise nation friday unlikely newcomer status london thursday ahead meet india finance minister trade policy g nation object subsidy agriculture make hard develop nation like india compete also call reform unite nation world bank imf chidambaram india finance minister argue organisation need take account change world order give india china integration global economy say issue globalisation term engagement globalisation mr chidambaram attend g meet part g group nation account two third world population conference develop enterprise host uk finance minister gordon brown friday say favour float exchange rat help country cope economic shock flexible exchange rate one channel absorb positive negative shock tell conference india along china brazil south africa russia invite take part g meet take place london friday saturday china expect face renew pressure abandon fix exchange rate g nation particular u blame surge cheap chinese export country try use fix exchange rat wish make judgement mr chidambaram say separately imf warn thursday india budget deficit large would hamper country economic growth forecast around year march year march indian economy grow
business,ethiopia produce million tonne crop higher average past five year report say crop production total million tonne joint report food agriculture organisation world food programme say good rain increase use improve seed contribute rise production nevertheless million ethiopian still need emergency assistance report calculate emergency food requirement tonne top tonne blend food oil target food distribution survival programme child five pregnant woman need eastern southern ethiopia prolong kill crop drain well last year total tonne food assistance need help seven million ethiopian food agriculture organisation recommend food assistance buy locally local purchase food assistance program recommend far possible assist domestic market farmer say henri chief global information early warn system agriculture main economic activity ethiopia represent gross domestic product ethiopian depend directly agriculture
business,u government claim accuse country biggest tobacco company cover effect smoke throw appeal court demand bn bn file clinton administration reject decision court washington find case could bring federal anti racketeer law among accuse altria group reynolds tobacco tobacco group brown case government claim tobacco firm manipulate level increase addiction target teenager multi billion dollar advertise campaign lie danger smoke ignore research contrary prosecutor want cigarette firm surrender bn profit accumulate past year impose tougher rule market product court appeal district columbia rule u government could sue firm legislation draw business tobacco company deny illegally conspire promote smoke defraud public also say already meet many government demand landmark bn settlement reach state share tobacco company close higher rule altria rise reynolds show gain
